labels,text
0,房間小了點，打開行理箱後，就沒地方走動。 還有，如贈送的咖啡可以帶上房間喝就好了，因個人喜歡在寧靜的環境下獨自享受喝咖啡，lobby 太多人了。所以都沒有享用免費的咖啡。
0,沒有自己的停車場比較不便，另外房間的地毯不夠乾淨，就這兩項提出感受
0,Ok
0,電梯較擁擠
1,早餐好吃，床舒適。
1,環境清幽、停車方便、服務人員親切、價格便宜！
1,戶外溫泉(裸湯)，早餐
1,房間空間大且乾淨，不會因為是hostel床位而覺得擁擠壓迫， 已經很划算的價格還有附好吃的特色早餐， 老闆娘非常親切好客， C/P值爆表的好民宿！
0,空間小但五臟俱全，只是我30吋大行李真的很難攤開平放啊！
0,沒
1,兩張雙人床的房間寬敞舒適。 地點方便，附近就是新光三越。 員工友善。
0,早餐有進步的空間 停車場空間小
1,房間大
1,早餐還不錯，同種菜單，內容物會不一樣。 免費腳踏車非常方便。
0,沒有
1,裝潢很棒，早餐很豐盛
1,職工們很樂於助人，很殷勤有禮。
1,服務態度佳 環境乾淨舒適
0,透過飯店預約計程車的費用比自行預約高
0,附近沒7-11！及晚餐得再開車出去！但也獲得寧靜的住宿環境！
1,交通非常方便，距離後山埤站走路不用兩分鐘，離南港展覽館站也只有三站，是在南港展覽館參加各種展覽廠商的好夥伴。早餐多樣化，中式西式的早餐都有，美味選擇又多。房間整齊乾淨，浴廁也很乾淨。飯店周便不少商店，要用餐，要購買日常用品都很方便。
0,床縫裡的垃圾太多，有點噁心 隔音不好
1,服務很好
0,床頭有塵
1,位置方便，環境靜中帶旺
1,很好👍
0,沒有
0,隔音差，沒提供早餐，設備老舊，
1,早餐很好吃，位置雖隱祕，但週遭很多商家和餐廳
0,樓上的住客可能有小孩 到晚上11點多還在跑來跑去....
1,非常棒的地方！一定會再來
1,風格卓越，乾淨整潔，服務親切，開幕期間提供許多優惠，下次會再入住。
0,很吵！關門聲很大
1,早餐種類算多，也蠻好吃。
0,員工訓練
0,"除了,隔音有點差.沐浴備品較少外,其餘均還不錯!"
1,早餐不錯哦！
1,乾淨，明亮，早餐好吃，服務佳
0,早餐選擇有點少。
1,浴室很乾淨
0,不保證有停車位應該先說，不然去到那邊發現沒有位子得停附近停車場，一小時60元不便宜。
1,"空間寬敞,採光佳, 溫馨"
0,如果雙人房可以說選了一張雙人床就雙床會更好，可惜這次去很多人住宿，被安排到兩張單人床合併，是不會不舒服，只是有點可惜，希望可以有浴缸的房間可是沒被安排到，希望填寫的備註欄，服務人員可以注意到，並主動提起及說明會更好，或者在知道我們的需求沒辦法達成時傳電子郵件親切的告知，才不會讓顧客滿心期待，到現場有些小失落，不過整體來說飯店環境很棒，地下室停車格有點小，車子出去跟停車都要很小心。
1,員工態度
1,服務人員服務非常親切
1,市區旅遊放鬆一日的奵選擇
0,在訂購時應該就該把地理環境標示清楚 因為我們在入住後 耳邊傳來火車崆崆聲 而且一個小時起碼有5個班次經過 反應了~~也過了快1個小時才動作 換了房~~沒觀景房了 但也沒退差價 雖然送了一個奶酪捲 但~~沒有下次了！
0,隔音非常不好，房間雖擺設不錯，但不適合有大行李旅客，樓梯若踏不好，容易摔倒，不適合50歲以上民眾住宿
1,飯店人員幫忙升級房間變得比想像中的大
1,民宿老闆人超好，早上爬不起來吃早餐，還準備早餐讓我們帶走在路上吃。
1,地理位置極佳，早餐選擇豐富，室內空間大且舒適，接待人員十分友善
1,都很好
0,沒有
0,停車場過卡後，很快就又出不去了，可是收行李沒辦法這麼快
0,床小了點，有些設計在使用上沒有很順手。
0,雖然有吃早餐的方便，但是不夠理想。
1,飯店正對面就是八色烤肉，當天check in很晩...前枱服務人員很棒！幫忙打電話預約：）
0,沒附早餐未先言明
1,交通地點好，櫃台人員親切
0,附近由於演習導致有飛機的轟隆聲
0,早餐比預期的差很多 網路上說菜色很豐富 但實際上菜色不多 很一般
1,裝潢真的很可愛，床也很舒適，距離逢甲夜市超級近
0,我們是訂ㄧ間雙人房在八樓。緊臨大馬路，沒有用氣密窗。車子的聲音聽的好清楚。車站附近車子很多，跟本睡不著。還有冷氣哄哄叫，必須關掉才沒有聲音。網路上的好評是業配文吧。早餐也很差。下次不會入住。
0,沒早餐
1,離北車相當近，周邊有許多餐廳，相當便利。
1,房間大又新
1,價格算優惠 沙發也蠻舒服的 電影很多
1,房間配置舒適、整潔
1,我覺得地理位置很棒，然後可以寄放行李很方便。價格真的很便宜，但床意外的舒適，房間內部空間很大！
0,房間浴缸出現去水問題
0,可能是冷氣位置關係，已經調到最低16度，但躺在床上還是很熱，床鋪有點太軟，會一直陷下去
0,隔音稍微不好
1,早餐和消夜都超級厲害的! 地點也很方便 下次一定會再入住
1,老闆老闆娘超親切，非常熱心！大推
1,房間很大
0,兩個人得一張被，攞多張被要收100蚊。 馬桶因加了噴水清洗 所以變得很細 極不舒適。
0,早餐選擇種類可多樣化
0,停車較不方便，需要找一下停車位；住宿有四個館，建議可以跟老闆再次確認住宿地點。
0,早餐太好吃 害我吃超飽
0,308房間網路收訊不好，請改善
0,浴室蚊蟲稍微多一點
1,服務很好👍
1,旅店設施完善，員工友善主動。
1,主動清潔房間
1,有免費的午茶和宵夜，早餐菜色也還ok
0,隔音效果不是很好、吹冷氣時會有煙味…
1,地理位置方便、附近臨近夜市、去哪景點都不算遠
1,裝潢很新
1,乾淨，便宜
1,便利
1,早餐好吃，床很大，浴室超大。。。
1,夠大的浴缸 舒適的床鋪 全天供應的輕食與飲料 櫃檯人員非常親切且非常樂於協助 有供應自助旅行的常用物品
1,有很多插座。
1,早餐豐富
0,員工服務態度改善一下
1,地理位置好 旅館整體都好
1,空氣很好，落地窗很棒！！
0,收費高但設備老舊，服務沒有創新，許多設施都不能用，而且房間內的陳設太老舊了，沒有進步，但收費卻很高，這樣的收費，還不如住民宿，CP值超差的！令人失望！
0,竟然停車位不夠    要在台南自己找停車位     有點蝦
1,地點非常好！美食都在附近一下子就到了 櫃檯人員都非常親切讓人感受到台南人的熱情 早餐非常用心好吃！
0,電梯太小
1,優質新民宿!華麗乾淨cp值高
1,員工態度良好，位置佳，房間CP值高！
0,沒提供早餐
0,不知道是什麼問題 房間內我打了5.6隻蚊子
0,床太小，浴室沒有乾濕分離
0,浴室太潮濕，用抽風機都不會乾，還好有用電風扇吹
0,臥房沒有熨斗。
0,無
1,服務人員很客氣， 服務態度還蠻不錯的， 早餐也很豐富 很好吃😄😄😄
0,如果寄存行李也可以包括退房後就好了，因為我退房之後並不是立刻離開那邊⋯
0,隔音不佳 入住時等待時間過長(40分鐘) 訂房時有註明有的設備實際上沒有(有線電視、冰箱…) Wifi訊號不佳 服務人員服務不佳(沒確實介紹環境及設備使用，須自行摸索)
1,地點極佳乾淨舒適
0,即使是舊飯店⋯壁紙也該花點時間重貼，不然看起來更老舊了
1,床鋪、冷氣、廁所都很棒
1,員工熱心有禮 對顧客提問細心回答 下次有機會一定會再選擇這邊
1,床很舒服，枕頭有兩顆，軟硬不同，可挑喜歡的睡
0,電梯太少，有時需等候很久。
1,房間舒適乾淨，另外飯店還有提供手機可使用，這個部分針對國外旅客應該是蠻方便的，位置在台中廣三SOGO旁邊，附近也相當熱鬧方便。
1,很棒的老品牌飯店，保留無法取代的底蘊
0,隔音很差，房間可以再乾淨一點
1,價格
0,空間
1,淋浴空間設計剛好又乾淨
0,房間太暗了
1,老闆曾先生樂於助人，讓我感動萬分，為了要拿借來的車子，他停下手邊的工作，開車協助我，難能可貴。
0,單人房空間真的非常小
0,308房屬2張小床房型，燈具在床頭上方，很像2支紅蠟燭，該房間又屬無對外開窗，建議改裝時應考慮無開窗房型，用色應活潑一點。空調聲音也屬應改善項目之一。
0,當天可能入住房客較多，早餐用餐要排很久，也未延長早餐時間
1,床和枕頭很舒適。插座很多方便充電，只是少了床頭櫃或小桌子，東西沒地方放。
0,廁所有異味
0,休假就是想好好睡飽再出遊 但早上8點多隔壁就開始吵炸天 也不知原因 忍了進一個小時用內線打到櫃臺4 5通以上都沒接 直到用手機直接打店家連絡電話才有人接才告知隔壁在施工 入住時完全沒告知 就這樣完全不用睡到11點退房ㄧ樣吵⋯ 建議未完工前要入住不想8點就氣醒的朋友需多考慮
1,服务好，地点好。交通方便
1,下午茶點心不錯
0,無
1,早餐不行，環境又吵又不舒適。
0,浴室地板清潔還好
1,地理位置佳
0,枕頭太軟，可提供一軟一沒那麼軟的給住客選擇較好。
1,早餐多元化 好吃
0,房內空調溫度調整不靈敏，例如設定26度，一直在22~23度，很冷！建議檢查溫控開關 或 冰水閥。
1,床很舒適，房間很乾淨，逛夜市超級方便！重點是在逢甲居然還有室內停車場，很難得！
1,地理位置方便，餐廳舒適，餐點選擇性多
1,服務人員超級親切 地點相當方便
0,肉眼看得見毛巾和床單的老舊髒污。隔音極差、覺得名稱來說十分丟臉。
1,櫃檯人員熱心協助，大廳設計感十足，每個擺設都很用心，房間舒適便利 ，浴室抽風機安靜無聲，早餐超好吃完全不馬虎，附近走出去到處是美食，只能給滿分再加分了
1,服務態度好，地理位置也很好
1,早餐多樣化，沐浴用品也替客人著想，房間乾淨整潔
0,羽毛被不好蓋，會揪成一團
1,早餐不錯，很新鮮！出餐速度快！
1,房间布置很花心思，主人也很热情
1,住的環境超棒
0,招牌可以明顯一點
1,房間的結構
1,早餐很美味，飯店內設施乾淨
1,观海阳台景很美，不过冬天太冷。
1,"1. 24小時可以使用的餐廳空間和飲料機, 晚上不定時的還會有薑母茶供應； 2. 早餐的品種和味道都算可以的, 就是人會多了點, 還有在露台的餐桌, 可以看到開闊的市景"
1,房間舒適，光線也好。服務人員態度積極親切。大廳與房間都好適合拍照，喜歡拍照的強烈推薦。
1,無
0,與娛樂場所混在同一大厦內
1,老闆人很好～
1,位置方便 洗乾衣都免費 房間很大 有早餐下午茶
0,枕頭偏軟
1,地點絕佳，到各個地方都很方便。 步行就可以到寧夏夜市或便利超商。 有附停車位。
1,地理位置佳 飯店備有小點心、宵夜、早餐感覺很棒
1,床舒適、房間乾淨夠大、浴室乾淨夠大、附近逢甲夜市小吃很多
0,早餐若能再改進，你們會更棒！
1,服務態度好，房間整齊乾淨，設身處地為客人著想！優秀
1,簡潔舒適
0,無停車場場禁忌、房內空間極小
1,早餐很好吃 床很好睡
1,景觀及早餐👍
0,住spa房，官網說spa房包含沙發區和專屬泡湯區，結果現場帶到房間內的時候才說如果要使用泡湯區要加收600元的熱水費用，原本spa房的價格就比一般四人房多700了，現場才說要再付600元才開熱水，感覺很差，星期日一晚價格總共4566元，Cp值很低。
1,早餐好吃，床舖舒適，房間乾淨，交通便利
0,拖鞋外觀很像發黴，反應說是正常且全新的
1,房型不優，天花板過低，所以有壓迫感。雙人床是兩張單人床拼起來的，因為房間小，床的面積過大，走動動線有點侷促。
0,飯店活動安排不足 餐點缺乏多樣性
1,大廳之舒適感，服務人員之平易近人，完美!
1,全部都很好，舒適而且交通也方便，也很乾淨。員工很nice，只要你有什麼需要或問題，都可以馬上幫你解決。
0,電視頻道有限制
1,住房乾淨舒適，沒有異味
1,整體是一間cp值高的商旅，房間部份床很軟很舒適，然后燈光也舒服，房內有飲水機很便利，廁所空間又非常大，浴缸也大使人泡的舒適，早餐樣式普通但都是好吃的，當天還被升等，很不錯!
1,早歺很棒很合適大人及小朋友只是场所太小‘‘ 距离車站很近走路即可′.
0,酒店在大樓裡，應該掛個門牌號或酒店的名稱在外面，要不然很容易走過頭或者找不到喔。
0,停車場離得有點遠，隔音不佳。
1,床相當舒適、飯店人員服務周到
0,早餐選擇性少 冷氣溫度無法上升
1,"可能因為住宿的人少了很多,原本訂兩人房,直接升級成四人房!!空間大很多!!"
1,晚餐小火鍋滿不錯的！早餐也好吃！ 適合有小朋友的家庭住宿！
0,插座有點少而已
0,室內wifi收不到，隔音不佳
0,旅館禁止抽菸 但房間外走廊一直有菸味 不舒服 空調一下很冷一下悶悶的
1,服務人員
1,早餐不錯
0,入住旅客之教育提醒，深夜進住至各住宿包間，食物氣味飄散，聊天吵雜
1,"地點靠近熱門的區域, 離公車站也很近, 交通很方便. 房間乾淨."
0,房間太小.
1,櫃台服務很親切
1,旅店很乾凈舒服，樓下逛街很方便。
1,價格便宜
0,浴室小了點，電視畫面色彩差
1,離夜市近，很方便
0,價格偏高
0,隔音設備不優
0,房間早上起來有很濃郁的尿騷味很可怕 早餐很普通
1,儘可能幫我安排有浴缸的房間的需求，真是感動
1,住得很舒服，下次去台東會再入住😀
1,房間和浴室的裝潢好可愛！整體是一間可愛精緻的民宿！而且老闆很年輕，人又不錯，價格也不算貴，房間隔音不錯
1,員工很親切，環境也乾淨。公共空間很舒服。
0,沒甚麼不滿意的地方
1,別具風格的建築設計，早餐豐盛。
0,枕頭有點太軟
1,"地點不錯, 服務態度好 清潔乾淨"
1,舒適的房間
1,有宵夜點心
1,早餐 - 好!
1,整體都很棒，下次還會想再入住
0,房卡有點難用，從外面刷卡跟開門讓我覺得蠻困擾的
1,很好
0,個人不太喜歡軟床
0,早餐選擇可以再加強，房門隔音較不佳，走廊若有嗓門大的人經過都可以聽見說話的內容
1,地點 及泡湯環境
0,早餐普通，沒當地特色。 沒有大廳休息聊天喝咖啡的地方。 沒有空中景觀餐廳。
0,房間整潔度有待提升，員工服務態度可以更好，對住客可以再細心一點
1,接待員態度親切友善
1,大廳空間很不錯～
0,"沒附早餐有點小不方便, 不過這是墾丁許多民宿都一樣的狀況 ; 一樓剛好有住房客的時候, 晚上約9. 10點就不能和朋友繼續在客廳聊天相聚了, 這是覺得比較美中不足的地方~"
1,民宿老闆有準備伴手禮
0,樓板薄，入住期間樓上有小朋友跑跳發出的噪音傳遞聲響很大，影響入住品質。
1,老闆非常熱情 還準備了迎賓水果很貼心 房間的舒適及整潔都非常棒！ 地理位置也很方便！
0,空調不太冷，但跟櫃檯反應後有重啟冷氣，就有冷了
1,東西準備很齊全，環境非常感覺，浴室還有乾濕分離跟防滑墊，老闆人非常的好，入住有提供飲料跟美味的早餐，還有腳踏車可以騎到附近玩，整理的感覺都很讚！
1,近捷運站，非常方便，附近住宅區，很多食肆，步行去家樂福及寧夏夜士約10分鐘，去士林夜市乘兩個捷運站，地點好好。房價便宜，每間房都有窗係重點，冷氣夠凍，水夠熱，唯獨美中不足係風筒出風很熱，及用一陣有過熱情況，不敢再用。隔離7-11，有atm可襟錢。四週夠靜 不會像西門町咁嘈。
0,冷氣溫度不能調整
1,"古色古香的住宿環境, 真的很棒 ! 阿仁老闆相當親切隨和,有問必答,不用擔心會迷路的. 泡茶喝咖啡隨心所欲. 無限量續杯 '讚'."
1,整體環境乾淨整潔，公共澡堂優！
0,房間內除wifi外，無法對外通訊(無法用手機撥電話)，實為困擾 早餐時間10樓餐廳客滿，至11樓用餐，但餐點豐富度較10樓少
0,隔音設備非常差 兩點多吹風機聲音還是很大也沒斷過 隔壁房的人在房間走道整理行李 非常大聲 溝通過情形還是一樣 整晚都不用睡 雖然便宜但是不推薦
0,房內燈光較昏暗 可以再多設置一點可開關的燈增加照明度 房內wifi不穩 洗手台設置在房內容易濺濕
1,很乾浄
1,地理位置很好
1,接待人員非常專業且親切，當天下大雨忘記帶傘，也提供雨傘使用至退房 備品使用有品牌的，幾乎跟飯店同等級了 房間內有許多插座而且都是萬國插座，這點真的貼心
1,服務人員親切
1,老板和老板娘很用心经营！服务热情周到！知道我们没有车，还贴心的开车从火车站接送我们。介绍了很多好吃好玩的地方！还请我们吃零食。老板很豪爽，很大方，很喜欢交朋友。感觉是哥哥姐姐给予我们的照顾！绝对超赞！
1,裝潢顏色搭配、採光、很乾淨
0,隔音很差很差
1,視野遼闊，風景美，氣氛佳
1,我是獨行旅客，睽違13年再來金門，沒有做很多功課。老闆娘不只熱情的從機場載我到民宿還幫我在地圖上標好大景點，非常感謝也非常滿意，我定的是八八古意一館位於頂堡往金城或是其他景點都非常方便！
1,老闆親自準備每份早餐，起床就能享受熱騰騰美味早餐，還能欣賞窗外的美景！
1,離火車站很近 房間也很大 價格很優惠
1,有小閣樓做分隔，讓家人同時擁有兩個空間休息
0,房間的空氣香精味太重
1,陸客很多，早餐品質被破壞
1,離火車站及捷運很近，交通方便
1,環境很乾淨，冷氣很涼
1,設備很貼心方便
0,飯店之隔音效果還有改善空間，三人房的格局有兩房是很棒。
1,沒有早餐
0,隔音
1,喜歡入住前的主動聯繫提醒，素食早餐很豐富，住房乾淨安靜，地點離台北車站近，叫計程車也方便，停車也很便利，泊車服務很好，可說是物超所值！
1,地點方便
1,床很舒服很軟很好睡
1,門沒有壞
0,空間小且椅子都是硬的，回房間沒有地方可以好好休息，空間真的很小!
1,環境舒適
0,旅客多時水壓會降低
1,房間舒適乾淨 名宿很可愛擺設很用心！！！老闆娘人很nice!l
0,電視壞掉，書桌內建插座是裝飾品，以為換房間會比較好，殊不知是更無言的開始...床邊基本插座整個都是鬆落的，吹個頭髮克難的找到衣櫃裡去，但插座也是鬆脫搖晃得隨時注意...服務人員品質也是良莠不齊
1,舒適
1,地點好，停車方便
1,早餐很棒
1,地里佳
1,很貼心 很值得推薦的民宿 超級乾淨
1,整潔乾淨早餐豐盛性價比高
0,停車不好停
0,停車費還要錢，早餐選擇性低，隔音不好
1,"空間大,感覺舒適,接待親切,停車方便"
1,服務人員非常親切，平易近人很熱情，讓我們一群人住的很舒適，值得考慮再來，尤其有小孩的家庭更適合來住，還有小朋友的賽車可以玩。
1,在捷運行天宮站2號出口旁邊，步行5-8分鐘有公車站，可坐公車直達桃園機場。附近有7-11和松江市場，步行15分鐘可到上引水產。最貼心的是2樓有免費的自助洗衣機和烘衣機，還有咖啡機和電腦（都是免費的），這些設備對旅客而言，非常實用。會再次入住。
1,很舒適、乾淨！
0,距離鬧區有點距離，且無停車場
0,有牙刷沒牙膏、隔音很差！！！
1,房間和浴室也頗大
1,房間乾淨舒服，照片沒有太大差別
1,床墊很軟很舒服，整體感覺非常乾淨。床鋪的大小剛好，翻身也不怕掉下來。有國際插頭。浴室內有附洗髮精和沐浴乳。
1,樓下就是百貨公司
1,老闆人很親切 因為是學生環島 到達已經很晚 但老闆仍非常親切 房間寬敞舒適整潔 還有腳踏車可以用
0,隔音有待加強、晚上都會聽到小孩哭鬧的聲音導致睡眠品質不佳😫😫 浴室如果乾濕分離會更好
1,女櫃檯很好看
1,早餐不錯。多樣選擇。
0,早餐餐具的清潔可以稍微再加強 房間門口的逃生方向燈會一直亮著，無法關掉，對於睡覺要求全黑暗環境的人會有些困擾。
0,地點較不容易找
1,房間舒適美觀 設備很不錯
1,早餐不错，位置非常好，离台北车站走路3分钟，十分方便。
1,單人房設計，有自己的小空間 早餐很特別很好吃
0,房間灰塵，好像很就沒人住過，房間有上個房客的空包特瓶
1,因為聽聞康橋大飯店，消夜很好吃，我和朋友20:05就去體驗消夜美食的饗宴！素食超級友善呀！！從豆花，素食麵線，素食肉燥，素食切仔麵，冰淇淋，水果，飲品都超級友善！！真的太棒了~
0,從停車到客房要換2次電梯
0,"02號房間窗邊吊燈太低容易碰到頭, 幸好是塑膠燈罩"
1,早餐很棒，選擇多
0,"距離最遠近的捷運站需要約10分鐘步行路程, 有點小遠"
1,乾淨舒適
1,設備齊全、電視功能多!很喜歡!
1,飯店人員服務態度很好，床很軟，浴室還不錯，餐點選擇多，還有提供免費的腳踏車，就近可以騎，很不錯。
0,可能是因為語言溝通問題 以為要走去碼頭 其實民宿離碼頭有點距離
1,民宿很有特色，有監獄的感覺，離許多景點很近，隔音也不錯。
1,地點
1,房間乾淨舒適，櫃檯一直放著音樂氣氛很好，近車站，離夜市也不遠，房東人很好
0,沒有早餐，有點可惜
0,單人房房間真的小，空調感覺不是很清新，出風口有灰塵 晚上睡覺一直聽到有人在唱KTV的聲音，很難睡 早上問櫃台櫃台說附近沒有KTV，很奇怪
0,還好，清潔的速度要快一些
1,房間空間大
1,附近有間岩灣早點 粽合蛋餅 很讚
1,環境乾淨，離車站近。
1,房間是非常可愛的粉紅色，整體空間很舒適，有24小時的冷飲提供，跟免費早餐，還有娛樂空間，整體住下來非常的超值！！！下次一定會再入住
0,洗髮精、沐浴乳不足
1,簡單、舒適
1,樓下就是羅東夜市
1,早餐中式西式都有 人員非常客氣 也貼心叮嚀用餐客人 餐飲熱 燙 小心取用 開始吃副食品五個月寶寶（在家寶寶滿四個月寶寶一天一點新食物都ok ） 能吃也很多樣 有提供需要嬰兒床旅客 基於衛生本人自備小件厚毛毯 車上用的到 帶寶寶住這完全超舒適 寶寶能睡 大人也能睡不擔心睡不飽 明天繼續玩
1,便宜，位置佳
0,地下室設備的飛鏢機修一下就更好了，我們玩一次就要重開一次平板，有點掃興，其他部分都非常好👍
0,熱水很慢⋯⋯而且不夠熱，好像在洗冷水
1,浴廁所設備不錯，電視頻道多台
1,房內泡湯池加裝的扶手與標示警語很好。
1,床很舒適，還有迎賓茶
1,飯店位置好，離捷運近、公車站近、後面就是西門商圈！洗澡熱水很足夠！
1,"早餐很豐盛；有免費的腳踏車可以使用; 四人房的空間稍微小了一點 ,但這種價位算是可以接受"
1,"1. the design of the hotel 2. the restaurants recommend by the staff, cheap and nice 3. large bed provided overall makes me feel relaxing~"
0,游泳池不是溫水，12月游泳真是鍛煉心臟阿！
1,很好喔！
0,剛好同一層樓住的是陸客都開門講話，隔音效果感覺不好，棉被有點粗糙。
1,早餐好吃，高麗菜很鮮甜！
0,停車位置太差
0,隔音設備真心覺得不好，在房間可以聽到外面門開開關關的聲音跟腳步聲。
1,地理位置適合渡假，在山裡面，空氣好、房間內的湯池很大（vip四人房），使用booking.com常客優惠訂房，check in時還有迎賓飲料招待（咖啡廳喝咖啡），至於之前有網友評價提到地形太高，吃飯、泡湯不方便..等，但若是定位旅遊是想運運動、戶外走走，稍微運動爬爬坡其實還好。總之，此次的住宿，我個人是滿意的。
0,我覺得早餐的菜色可以再加強，老實說沒有很好吃！
0,因為房間剛好在電梯旁，比較容易聽到走廊傳進來的講話聲音。早餐普通。
0,上下層床鋪，上層翻身時下層會晃動
1,早餐非常好吃!
0,設備有點老舊，感覺此價格可以住更好的飯店或民宿
1,可以攜帶寵物 停車方便 床墊是席夢思的很軟 電視可以看愛奇藝 方便追劇 有陽台 隔音效果非常好 浴室有珪藻土地墊防滑 擴香的味道很舒福
0,/
0,床只要稍微一動就晃的厲害 早餐有點廉價
0,浴室排氣故障噪音大聲
1,服務人員態度真的沒話可說。
1,枕頭超不舒服丶早上也太早打電話說早餐到！影響睡覺
1,早餐可以
1,早餐很棒，房間打掃得很乾淨，視野佳
0,晚上廁所沒有衛生紙，垃圾桶也滿出來，讓人感覺不太舒服。另外住的是沙發類型，單人沒有太多行李還可以，只是枕頭很像是抱枕，有點不好睡，短天數算是可以接受的地方。
1,床很舒服地點近夜市
0,房間太小
0,停車場限制高度重量是不方便的地方
