labels,text
negative,"After Highlander 2 (which I am still in denial about), I thought is was impossible to make a sequel that could make me cry because it was so bad. I was wrong. I loved the original Wargames, however, this movie is inaccurate with computer details and details about the original movie. The original Wargames at least had some hacks that worked. Whoever wrote this movie knew NOTHING ABOUT COMPUTERS except how to use a word processor. I doubt he or she even watched the original movie. The acting isn't even convincing. Please save yourselves, under no circumstances watch this movie. I don't care if the channel is stuck on the TV and you can't turn the TV off. THIS MOVIE WILL RUIN YOUR LIFE."
negative,"This movie proves that good acting comes from good direction and this does not happen in Ask the Dust. Colin Farrell is usually a fine actor but in this he is juvenile. Donald Sutherland comes across as an amateur. Why? Because the script is awful, the adaptation is awful and the actors seem bored and half hearted. The atmosphere of the movie is bad - I could only think when it would finish and I turned it off half way. The director has done a very poor job and even though I have not read the novel it is certainly a missed chance. The atmosphere this film is trying to evoke and the message and storyline never reaches the audience. In one word, it is a TERRIBLE film."
negative,"Okay, the story makes no sense, the characters lack any dimensionally, the best dialogue is ad-libs about the low quality of movie, the cinematography is dismal, and only editing saves a bit of the muddle, but Sam"" Peckinpah directed the film. Somehow, his direction is not enough. For those who appreciate Peckinpah and his great work, this movie is a disappointment. Even a great cast cannot redeem the time the viewer wastes with this minimal effort.<br /><br />The proper response to the movie is the contempt that the director San Peckinpah, James Caan, Robert Duvall, Burt Young, Bo Hopkins, Arthur Hill, and even Gig Young bring to their work. Watch the great Peckinpah films. Skip this mess."
positive,"I have to agree with MR. Caruso Jr Lanza,s was the finest voice god had to offer if only he could have found the courage to go for broke leave Hollywood and head for the opera he could have been the American Caruso everyone says he could have been but in any case he is a fantastic introduction to the art form no bones about it and if thats the way its gonna be so be it. see the film you'll see why Mr Lanza still come up in discussion even in my house. Someone says Pavarotti i say MARIO LANZA.As for the film itself when will it be on DVD they must have it restored and VHS isn't good enough but this should also be the only Lanza film put on DVD the others are down right bad and boring ."
negative,"Anyone who actually had the ability to sit through this movie and walk away feeling like it was a good film does not appreciate quality movies. This movie was an insult to watch, the direction was high school film class quality as well as the cinematography. The Blair Witch Project had better cinematography and I hate that move with a passion! The storyline had the potential to be a very intense very good movie but it fell flat from the first 10 minutes through the rest of the movie. Someone mentioned that this film was about a child's imagination, okay thats all good and fine. But they still could have done better things with this script than what they did. I mean come on, the Indian in the store. Did the kid look at the little idol and suddenly imagine the Indian and the entire story about an Indian spirit called Wendigo? Which they mention to the store employee and she casually says there is no one but me that works here, so you think okay creepy ghost scenario, but then she just barters for the amount on the idol and we forget about the little kid seeing this guy. That was so lame it goes beyond pathetic. The ending left you wondering not only what happened to Otis in the hospital but also with the feeling of OMG!!! Why the hell did I just waste my time watching this!! This is a move that I recommend NOT to watch, there are definitely better quality films out there that won't insult your intelligence! Thank god I never had to pay to see this movie, I would have demanded my money back! For those that were easily entertained by this movie.... it's very sad that you lowered your standards to this level of film making to actually say that it was a good movie."
positive,"As predictable as a Hallmark card, but not without merit, The Rookie makes for a solid outing. Dennis Quaid, the most reasonable jock actor working today, is absolutely perfect as the science teacher turned baseball player Jimmy Morris. The film is never dumbed down for the children, as would be expected from a G rated film. As a sports film, The Rookie is one of the best I have seen since Any Given Sunday."
negative,"I can see why Laurel and Hardy purists might be offended by this rather gentle 're-enactment', but this film would be an excellent way to introduce children to the pleasures of classic L & H. Bronson Pinchot and Gailard Sartain acquit themselves reasonably as the comedy duo and there's a reasonably good supporting cast. I enjoyed it."
positive,"This is a film i decided to go and see because I'm a huge fan of adult animation. I quite often find that when a film doesn't evolve around a famous actor or actress but rather a story or style, it allows the film to be viewed as a piece of art rather than a showcase of the actors ability to differ his styles.<br /><br />This film is certainly more about style than story. While i found the story interesting (a thriller that borrows story and atmosphere from films such as Blade Runner and many anime films), it was a bit hard to follow at times, and didn't feel like it all came together as well as it could have. It definitely had a mixed sense of French Animation and Japanese Anime coming together. Whether thats a good thing or not is up to the viewer. Visually this film is a treat for the eyes, and in that sense a work of art.<br /><br />If you like adult animation, or would like to see a film that is different from most films out at the moment. I would recommend it. All i can say is that i enjoyed the experience of the film but did come away slightly disappointed because it could have been better"
negative,"<br /><br />As usual, I was really looking forward to a new TV/film on a favourite subject of mine - makes a nice change from a *strangely familiar* documentary about Kursk or Stalingrad on the History Channel.<br /><br />I avidly looked forward to Pearl Harbour and Enemy at the Gates - but was rudely brought down to earth with the realisation of the malevolent, stupid-ifying power of Hollywood - and its ability to spend an absolute fortune on tripe.<br /><br />So yet again I got excited about 'The Rise of Evil', especially as I heard that Ian Kershaw was involved, as I've enjoyed his books. I can see why he quit.<br /><br />To quote some guy responsible for this rubbish:<br /><br />""The Kershaw book was an academic piece,"" he said. ""It was<br /><br />quite dry. We needed more incidents."" <br /><br />Incidents? Are they totally nuts? Hitler's life cannot be said to be without 'incident' - yes Kershaw's two volume Hitler biographies were long and detailed, but they were supposed to be.<br /><br />The thesis behind 'Rise of Evil' seems to be:<br /><br />Hitler was a very bad man - no he was a VERY bad man, who HATED jews, and just in case you miss this, we're going to emphasise the fact in EVERY scene in the film.<br /><br />There was no effort whatsoever to try and explain the mood of the time, and why Hitler may have adopted the views and strategy he did. Needless to say - unlike the generally excellent 'Nazis - A Warning from History' - this film neglected to point out the fact that nearly all of the leaders of the Munich communist rising were Jewish, and that this may have coloured his views on the subject - and his axiomatic linking of the jews with Bolshevism - an absolutely crucial aspect to understanding much of the Nazi era.<br /><br />But there was not much understanding to be done - the film-makers weren't going to go there, so we just got all the stuff we knew about anyway. We certainly don't get the fascinating fact that Kershaw alludes to, which has Hitler briefly being a socialist/communist immediately after WW1. That would of course be far too complex for the film to handle, and might even detract from the relentless 'he was very bad' mantra which bangs away incessantly.<br /><br />We know he was a bad man. However, we also know that he was a mesmerising figure both as a public speaker and in more private situations. He could be polite and even sympathetic, and of course espoused some views like vegetarianism, anti-alcohol and anti-smoking that many Guardian readers could agree with. He was also famously fond of animals, hence why that wholly invented dog-flogging scene was so absurd.<br /><br />He was also, from all the accounts I've seen, a brave soldier in WW1. Whilst we saw him with his Iron Cross, we never get to see how he won it (acts of bravery were not in the script, needless to say). We also get no insight whatsoever into why he was so fired up by his war experiences, whilst Sassoon, Owen, Brook, Remarque and so many others found it so repellent an experience. And again, like the point above re the jewish/bolshevik link, this is vital to anyone's understanding about the subject. Why did he love war so much? Why did he think it was always a good idea, despite massive evidence to the contrary? Why didn't he care about his colleagues who died? Or maybe he did - but still drew the wrong conclusions.<br /><br />This film certainly didn't have anything of any interest to say on this either.<br /><br />As all too often these days, the film is a classic example of 'making history relevant to the present' and inventing stuff or leaving awkward facts out to fit in with 'the present' - which all too often is to cater to the lowest common denominator, where you don't trust your audience an inch, so you just ram stuff down their throats, knowing (sadly correctly) that you'll always get away with it because there are so many dumb fools in the world.<br /><br />History is really about making us relevant to the past and seeing how it colours our present, for better and for worse. This rubbish was a great opportunity, lost again. They spent millions on it, and the locations and large scenes were impressive, but told us nothing at all we didn't know already, and promoted no understanding of this dark period in human history.<br /><br />WT"
positive,This was one of the best war movies I've seen because it focuses on the characters more then the actual war. All of the cast do an excellent job and because most of them are relative unknowns it makes everything seem more believable. The camera footage is great is so was the pacing and editing. This movie will actually get to you and causes the audience to care for the charcters.
negative,"A short review but...<br /><br />Avoid at all costs, a thorough waste of 90mins. At the end of the film I was none the wiser as to what had actually happened. It's full of cameos (Stephen Fry (3mins), Jack Dee (30 secs), the ""Philadelphia"" girls) and some vaguely recognisable people but it just doesn't make any sense. Whether the story just got lost in the edit I don't now but jeez...<br /><br />Put on a DVD instead or go to bed and get some rest!!!<br /><br />2 out of 10 (for the cameos and a Morris Minor car chase)<br /><br />"
negative,"God, I was bored out of my head as I watched this pilot. I had been expecting a lot from it, as I'm a huge fan of James Cameron (and not just since ""Titanic"", I might add), and his name in the credits I thought would be a guarantee of quality (Then again, he also wrote the leaden Strange Days..). But the thing failed miserably at grabbing my attention at any point of its almost two hours of duration. In all that time, it barely went beyond its two line synopsis, and I would be very hard pressed to try to figure out any kind of coherent plot out of all the mess of strands that went nowhere. On top of that, I don't think the acrobatics outdid even those of any regular ""A-Team"" episode. As for Alba, yes, she is gorgeous, of course, but the fact that she only displays one single facial expression the entire movie (pouty and surly), makes me also get bored of her ""gal wit an attitude"" schtick pretty soon. You can count me out of this one, Mr. Cameron!"
negative,"The memory banks of most of the reviewers here must've short-circuited when trying to recall this Cubic Zirconia of a gem, because practically everyone managed to misquote Lloyd Bochner's Walter Thornton, when in a fit of peevish anger, he hurls the phallic garden nozzle at his new wife, Jerilee Randall-Thornton, (a nearly comatose Pia Zadora) which was used to sexually assault her earlier in the movie...but I'm getting ahead of myself. In any case, poor Lloyd could've been snarling that line at the speechless audience as much as he was his put-upon co-star.<br /><br />Hard as it is for most of us to believe, especially these days, nobody in Hollywood sets out to INTENTIONALLY make a bad movie. This is certainly not the most defensible argument to make, since there just seem to be so damn many of them coming out. But then again, there is that breed of film that one must imagine during the time of its creation, from writing, casting and direction, must've been cursed with the cinematic equivalent of trying to shoot during the Ides of March.<br /><br />THE LONELY LADY is in that category, and represents itself very well, considering the circumstances. Here we have all the ingredients in a recipe guaranteed to produce a monumentally fallen soufflé: Pia Zadora, a marginal singer/actress so determined to be taken seriously, that she would take on practically anything that might set her apart from her peers, (which this movie most certainly did!); a somewhat high-profile novel written by the Trashmaster himself, Harold Robbins (of THE CARPETBAGGERS and DREAMS DIE FIRST fame); a cast who probably thought they were so fortunate to be working at all, that they tried to play this dreck like it was Clifford Odets or Ibsen; plus a director who more than likely was a hired gun who kept the mess moving just to collect a paycheck, (and was probably contractually obligated NOT to demand the use of the 'Alan Smithee' moniker to protect what was left of his reputation.) Like Lamont Johnson's LIPSTICK, Meir Zarchi's I SPIT ON YOUR GRAVE, Roger Vadim's BARBARELLA, Paul Verhoeven's SHOWGIRLS or the Grandmammy of Really Bad Film-making, Frank Perry's MOMMY DEAREST, THE LONELY LADY is still often-discussed, (usually with disgust, disbelief, horrified laughter, or a unique combination of all three), yet also defies dissection, description or even the pretzel logic of Hollyweird. Nobody's sure how it came to be, how it was ever released in even a single theater, or why it's still here and nearly impossible to get rid of, but take it or leave it, it IS here to stay. And I don't think that lovers of really good BAD movies would have it any other way."
positive,"Soon Americans would swarm over a darkened, damaged England preparing to invade Europe, but in 1937 the picture of hip Americans in the sunny, slightly ridiculous English countryside was an appealing, idyllic diversion. American dancing star & heartthrob Jerry Halliday (Astaire), on a European tour & weary of the screaming female crowds generated by the lurid propaganda of his manager (Burns), is unwittingly caught up in the marriage prospects of frustrated heiress Lady Alice Marshmorton (Fontaine). The tale is complicated by a betting pool among the Marshmorton servants that is run by (and rigged for) head butler Keggs (Gardiner), who's betting on Lady Alice's cousin Reggie (Noble), the favorite of Alice's stuffy, domineering aunt (Collier). The story would have been much better as a half-hour TV episode. The usual Wodehouse plot devices of mistaken identity and jumps to wrong conclusions wear thin in a full-length film. Both Alice & Jerry appear impossibly (and annoyingly) clueless by the second half of the film. The amusement park interlude & the climax in the castle are too long & begin to drag. Fontaine is too beautiful, too dignified & too quiet to be a ditzy blonde, no matter how aristocratic, while young footman Albert (Watson) is painfully awful. But while ""Damsel"" is a pretty diminutive vehicle for so much talent, the talent doesn't let us down. Astaire's romantic comedy skill is no less enjoyable here than in any of his films with Ginger Rogers and his dance scenes, both solo & with Burns & Allen, are up to par, though his one dance with novice hoofer Joan is necessarily tame. Gracie nearly steals the whole show as George's bubbly secretary who is at once airheaded, conniving & coolly self-confident. Her scene with solid character actor Gardiner as the devious snob Keggs is a one-of-a-kind classic. This & Astaire's priceless scene with the madrigal singers give ""Damsel"" a delightful color of naive but noble-spirited Americans mixing with noble but dull-spirited Englishmen. Gershwin is at the top of his game with ""Nice Work if You Can Get it"" & ""Stiff Upper Lip,"" which carry the film through its weak points. And is there another film where madrigals get a Gershwin swing treatment? ""Damsel"" is more than a piece of trivia for those who might want to see Astaire without Rogers or Fontaine before she was a real star. It's a fine diversion as entertaining as any of the vaudevillian musical comedies that ruled the 1930s but will never be made again."
positive,"This show has a great storyline! It's very believable! A mans wife dies and he cant take care of his children alone so he calls on his brother in law his best friend and many others come later on in the show. Such as Rebeecca Donaldson, ,the lovable yet strong dog Comet , Nikki and Alex who you can find out for yourself (I don't want to spoil it for you) and of coerce Kimmy Gibler! (The sidekick of DJ) but the kids are wonderful too. This is Mary Kate and Ashley first took off! And also you may know Candace Cameron Bure from shows like St.Elsewere Punky Brewster and that's so raven! Jodie Sweetin plays Steph the love able middle child who feels left out. Really this is a very good show!"
positive,"Recently when i was shopping, i saw the box-set of Americian Gothic, and i thought 'I remember that!' I used to set my alarm to get back up & watch this when it was on CH 4 in 1996 at 1.30am (i was 14). I remember it mostly because it was really scary and weird, no person could ever be as frightening as Lucas Buck (with a B!!) No one ever was anyway. <br /><br />What annoyed me though was they did the same thing to the box-set as when on TV. Episodes in funny order, I kept thinking when does Dr Matt leave??? - they made it so confusing. <br /><br />However this is not the writers, producers or directors fault (its TV people in background the money makers They still do the same - Just look at shows like Carnivale and Farscape they don't like originality in studios!!!!!)<br /><br />To finish - If you've not seen this and you call yourself a Sci-Fi Fantasy, Horror, supernatural drama..Fan = YOU MUST. They even said the same in SFX when reviewing the box-set."
positive,"This is an amazing movie and all of the actors and actresses and very good! Even though some of the actors and actresses weren't very popular in show business it seemed like they have been acting since they were 1 one year old! It was funny, gross and just all out a very good movie. In most parts I just didn't know what was going to happen next! I was like I think this is going to happen, wait I think this is going to happen. All age groups will love this movie! In some parts I couldn't stop laughing, it was so funny, but in some parts I was totally grossed out and I couldn't believe what I was seeing! I am definitely going to see this movie again! It is one of those movies where it can't get boring. Every time you see it is so suspenseful. I definitely recommend seeing this movie!!"
positive,"You know what they say about the 70's..if you can remember them you weren't there. One of the few things I do remember about the 70's was the very first hippie and hip social satire as seen from a totally 'underground'or counter-culture perspective..The Groove Tube. If the humor seems faded or witless now to some viewers it can only be because a lot has happened in the last 30 years and the comedy isn't 'fresh' anymore..but hey! When this movie came out it was a first..and some of these skits were being done for the very first time...at a time when Nixon was in office, the Vietnam war was raging, the sexual revolution was in full swing..and J.Edgar Hoover was still in charge of the FBI. This is a film made before Watergate broke and as such it was one of the first to take a big swipe at the establishment..to make fun of it and the hippies at the same time. And frankly, some skits are still dead funny. If you liked Cheech and Chong's ""Up In Smoke""..you will LOVE this film.<br /><br />If you want to know what the 70's were really like..check out the Groove Tube.. if you liked the Oscar winning ""Network"" from about the same year and thought it was right on the mark in its savage look at TV, you will dig the Groove Tube..which picks up on the theme but plays from the angle of the viewers...the young viewers who were turning off the TV in favor of other entertainments.... We had been raised on Ozzie & Harriet ""Leave It to Beaver"", Father Knows Best, My Three Sons..Happy Days...so imagine our glee when those of us who were experimenting with the new life-styles got to see a send up of the box as seen from our perspective! The commercials by the Uranus corporation alone are priceless..""Good things come from Uranus""....and the sudden break from straight film into Fritz the Cat-style animation when the hippies eat the weed is still one of the best segues in and out of sanity i have ever seen on film.<br /><br />If you liked the Kentucky Fried Movie, you will LOVE this film. And if you ever wondered why your weird uncle Harold still gets a wicked gleam in his eye when thinking back to his college days..this would be the perfect film to watch.<br /><br />Take it for what it is..a memento of the times...and a sassy little film that will help all of us who did forget the 70's to remember them anew."
negative,"What can you say about this movie? It was not terrible, but it was not good! Two days earlier I had watched Lillies and that was one of the best Gay films I have ever seen. So this was not the best time to watch a mediocre Gay flick.<br /><br />The story was silly and the acting was OK. It was not bad enough to turn off, but it had some bad moments and some terrible stereotyping. It was not very well cast either.<br /><br />Would I recommend this movie? No you would be wasting your time and money. I don't understand why movies like these are made and who is funding them. Spend your time Watching Noah's Arc on Logo instead. I think this is where this movie was trying to go but never got there."
negative,"As a long-time fan of Superman from the comics, through the 1950s series, the first two of the Chris Reeves films and Lois & Clark, and finally Smallville, I was *really* hoping for something clever with ""Superman Returns"".<br /><br />Instead we got Lex Luthor making *another* attempt at real-estate conversion, another Superman-beaten-up-while-wearing-kryptonite sequence, and internal inconsistencies: he couldn't stop himself falling into the ocean when stuck with 6"" of kryptonite, but when Lois breaks off 3"" of it, *leaving the rest embedded in him*, he can lift *a continent* into space?? Really, the only hero in the story was Lois' partner - I can't remember his name off-hand. He did all kinds of life-saving, heroic things with nothing but guts and skill - no superpowers, no invulnerability...just a normal human.<br /><br />They keep making Superman so small. Why can't we have Superman battling Brainiac or fighting to save the universe from General Zod instead of Lex's petty schemes. Oh, I forgot...they're doing that in Smallville.<br /><br />Yeah...I think I'll stick to Smallville...<br /><br />You probably should, too..."
positive,"Not only do the storylines in ""The Sopranos"" engage audiences from all over, but I think (for me at least) what brings the viewers back is the acting. (Not even you, Gary, can dispute that claim) James Gandolfini, who plays the lead-man, Tony Soprano, has become (in this viewer's opinion) one of the ""Hollywood Elites"" as far as acting in a television series goes. I wouldn't go ahead and compare him with Robert DeNiro or Al Pacino, or at least, not just yet. He, however, does do a hell of a job playing the part of Tony Soprano. In the years since 1999, Gandolfini has risen so much so as an actor (mainly thanks to his role in The Sopranos) that today he is considered to be among the best in the business. And it's not just him. ""The Sopranos"" fields a great supporting cast including that of Lorraine Bracco, Edie Falco, Michael Imperioli, Dominic Chianese, and the late Nancy Marchand who played Tony's dreadful mother. At this point in the show's existence, it's being considered a cult-classic and rightfully so. The first two seasons were extraordinary. Violent and quite gruesome in a pretty frequent manner, but without a doubt, extraordinarily done. The third season was great, but didn't quite live up to the hype of seasons 1 and 2. Season 4, which wrapped up right before new-years, was the weakest season yet (or at least, in my opinion it was). Despite a dry-spell, I still found it (season 4 of ""The Sopranos"") to be more entertaining than most of its competition and that's saying a lot because lately I've been noticing a trend in good new television shows. Examples of this: Six Feet Under, The Shield, Curb Your Enthusiasm, and OZ (which is not technically a new show but ended with an unforgettable final season this year). To get back to my point though, to consider a show better than all the competition during a particularly bad year, no less, is quite an accomplishment on the part of the writers. ""The Sopranos"" ranks above and beyond all other television shows in its era and its writers deserve a lot of credit. To close, I'd like to say, ""The Sopranos"" is the real deal folks. For the average mature viewer (17 and above) who enjoys drama and doesn't mind a mixing of a little violence and profanity, you might want to check out ""The Sopranos"" if you get the chance. Trust me in that it will be well worth the time."
negative,"I sat down to watch this movie with my friends with very low expectations. My expectations were no where near low enough. I honestly could not tell what genre this movie was from watching it, and if it was a comedy, the humor was completely missed. The plot was nonexistent and the acting was horrendous. My friends and I managed to watch approximately 30 to 40 minutes of this film before we turned it off and promptly begged the video store to take it back. I do NOT recommend this movie to anyone unless you are purposely trying to watch the worst movies of all time. I honestly don't know how this film lasted more than a day in theatres and moreover I can not understand why anyone would willing watch it, considering not only it's very uninteresting title but also the lack of any famous actors/actresses in it's cast. This review is not a joke and I honestly think this could possibly be the worst movie ever made. It's certainly the worst movie I've ever had to sit through."
negative,"""The Second Coming Of Suzanne"" is yet another one of those surrealistic films that tries to come across as extremely sophisticated, yet all it does is put the viewer to sleep. Like other movies of this type, there is limited dialogue. Everyone is much more interested in the visual aesthetic of the shot. However, the cinematography stinks so there is nothing at all to keep your attention.<br /><br />The video box states that this film is ""one of the most exciting visual adventures ever seen on film."" Yeah...sure. It's right up there with watching such stimulating events as a bucket of ice melting or a turtle walking for a mile. 1/10"
positive,"I think the deal with this movie is that it has about 2 minutes of really, really funny moments and it makes a very good trailer and a lot of people came in with expectations from the trailer and this time the movie doesn't live up to the trailer. It's a little more sluggish and drags a little slowly for such an exciting premise, and i think i'm seeing from the comments people having a love/hate relationship with this movie.<br /><br />However, if you look at this movie for what it is and not what it could have been considering the talent of the cast, i think it's still pretty good. Julia Stiles is clearly the star, she's so giddy and carefree that set among the conformity of everyone else, she just glows and the whole audience falls in love with her along with Lee. The rest of the cast, of course, Lee's testosterone-filled coworkers, his elegant mother-in-law, his fratlike friend Jim and his bride-to-be all do an excellent job of fitting into stereotypes of conformity and boringness that make Stiles stand out in the first place. <br /><br />Lee doesn't live up to his costars, i don't think, but you could view that as more that they're hard to live up to. Maybe that's one source of disappointment.<br /><br />The movie itself, despite a bit of slowness and a few jokes that don't come off as funny as the writer's intended, is still pretty funny and I found a rather intelligent film. The themes of conformity and ""taking the safe route"" seemed to cleverly align on several layers. For example, there was the whole motif of how he would imagine scenarios but would never act on them until the last scene, or how he was listening to a radio program on the highway talking about how everyone conforms, or just how everything selma blair and julia stiles' characters said and did was echoed by those themes of one person being the safe choice and one being the risky choice.<br /><br />The other good thing about the movie was that it was kind of a screwball comedy in which Jason Lee has to keep lying his way through the movie and who through dumb luck (example: the pharmacy guy turning out to be a good chef) and some cleverness on his part gets away with it for the most part.<br /><br />While it wasn't as funny as i expected and there was a little bit of squandered talent, but overall it's still a good movie."
positive,"Tom Hanks like you've never seen him before. Hanks plays Michael Sullivan, ""The Angel of Death"". He is a hitman for his surrogate father John Rooney(Paul Newman)an elderly Irish mob boss. Sullivan's young son(Tyler Hoechlin)witnesses what his father does for a living and both are soon on the road for seven weeks robbing banks to avenge the murder of Sullivan's wife and other son. Enter Jude Law as a reporter/photographer willing to kill Sullivan himself for the chance to add to his collection of photos of dead mobsters. Filmed beautifully catching the drama of life in the 30's. Sometimes the pace bogs down, but then a burst of graphic violence sustains the story. Director Sam Mendes directs this powerful drama about loyalty, responsibility, betrayal and the bonding of a secretive man and his young son. Other notable cast members are: Dylan Baker, Stanley Tucci, Daniel Craig and Jennifer Jason Leigh. Hanks again proves to be excellent in a very memorable movie. Make room for some Oscars!"
